year,teamId,team,classification,conference,division,expectedWins,total,conferenceGames,homeGames,awayGames,neutralSiteGames,regularSeason,postseason
2021,2,Auburn,fbs,SEC,West,7.235314710997045,"{""games"":13,""losses"":7,""ties"":0,""wins"":6}","{""games"":8,""losses"":5,""ties"":0,""wins"":3}","{""games"":7,""losses"":3,""ties"":0,""wins"":4}","{""games"":5,""losses"":3,""ties"":0,""wins"":2}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":12,""losses"":6,""ties"":0,""wins"":6}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}"
2021,5,UAB,fbs,Conference USA,West,9.330867437645793,"{""games"":13,""losses"":4,""ties"":0,""wins"":9}","{""games"":8,""losses"":2,""ties"":0,""wins"":6}","{""games"":5,""losses"":2,""ties"":0,""wins"":3}","{""games"":6,""losses"":2,""ties"":0,""wins"":4}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":12,""losses"":4,""ties"":0,""wins"":8}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}"
2021,6,South Alabama,fbs,Sun Belt,West,6.063656503762395,"{""games"":12,""losses"":7,""ties"":0,""wins"":5}","{""games"":8,""losses"":6,""ties"":0,""wins"":2}","{""games"":6,""losses"":2,""ties"":0,""wins"":4}","{""games"":6,""losses"":5,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":12,""losses"":7,""ties"":0,""wins"":5}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2021,8,Arkansas,fbs,SEC,West,8.814384530212447,"{""games"":13,""losses"":4,""ties"":0,""wins"":9}","{""games"":8,""losses"":4,""ties"":0,""wins"":4}","{""games"":7,""losses"":1,""ties"":0,""wins"":6}","{""games"":4,""losses"":3,""ties"":0,""wins"":1}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":12,""losses"":4,""ties"":0,""wins"":8}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}"
2021,9,Arizona State,fbs,Pac-12,South,9.763653383932272,"{""games"":13,""losses"":5,""ties"":0,""wins"":8}","{""games"":9,""losses"":3,""ties"":0,""wins"":6}","{""games"":7,""losses"":1,""ties"":0,""wins"":6}","{""games"":5,""losses"":3,""ties"":0,""wins"":2}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":12,""losses"":4,""ties"":0,""wins"":8}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}"
2021,12,Arizona,fbs,Pac-12,South,2.235388397447234,"{""games"":12,""losses"":11,""ties"":0,""wins"":1}","{""games"":9,""losses"":8,""ties"":0,""wins"":1}","{""games"":6,""losses"":5,""ties"":0,""wins"":1}","{""games"":5,""losses"":5,""ties"":0,""wins"":0}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":12,""losses"":11,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2021,21,San Diego State,fbs,Mountain West,West,10.937697882603752,"{""games"":14,""losses"":2,""ties"":0,""wins"":12}","{""games"":9,""losses"":2,""ties"":0,""wins"":7}","{""games"":8,""losses"":2,""ties"":0,""wins"":6}","{""games"":5,""losses"":0,""ties"":0,""wins"":5}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":13,""losses"":2,""ties"":0,""wins"":11}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}"
2021,23,San José State,fbs,Mountain West,West,5.007185880094767,"{""games"":12,""losses"":7,""ties"":0,""wins"":5}","{""games"":8,""losses"":5,""ties"":0,""wins"":3}","{""games"":6,""losses"":3,""ties"":0,""wins"":3}","{""games"":6,""losses"":4,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":12,""losses"":7,""ties"":0,""wins"":5}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2021,24,Stanford,fbs,Pac-12,North,2.8460643465358744,"{""games"":12,""losses"":9,""ties"":0,""wins"":3}","{""games"":9,""losses"":7,""ties"":0,""wins"":2}","{""games"":6,""losses"":5,""ties"":0,""wins"":1}","{""games"":5,""losses"":3,""ties"":0,""wins"":2}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":12,""losses"":9,""ties"":0,""wins"":3}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2021,25,California,fbs,Pac-12,North,5.128846488893032,"{""games"":12,""losses"":7,""ties"":0,""wins"":5}","{""games"":9,""losses"":5,""ties"":0,""wins"":4}","{""games"":6,""losses"":2,""ties"":0,""wins"":4}","{""games"":6,""losses"":5,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":12,""losses"":7,""ties"":0,""wins"":5}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
