id,school,mascot,abbreviation,alternateNames,conference,division,classification,color,alternateColor,logos,twitter,location
2000,Abilene Christian,Wildcats,ACU,"[""ACU"",""Abilene Chrstn""]",Western Athletic,null,fcs,#592d82,#b1b3b3,"[""https://cdn.collegefootballdata.com/logos/500/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2000.png"",""https://cdn.collegefootballdata.com/logos/256/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2000.png"",""https://cdn.collegefootballdata.com/logos/128/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2000.png"",""https://cdn.collegefootballdata.com/logos/96/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2000.png"",""https://cdn.collegefootballdata.com/logos/64/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2000.png"",""https://cdn.collegefootballdata.com/logos/48/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2000.png"",""https://cdn.collegefootballdata.com/logos/32/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2000.png"",""https://cdn.collegefootballdata.com/logos/16/2000.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2000.png""]",@ACUFootball,"{""capacity"":""12000"",""city"":""Abilene"",""constructionYear"":""2017"",""countryCode"":""US"",""dome"":""false"",""elevation"":""520.9"",""grass"":""false"",""id"":""5440"",""latitude"":""32.472275"",""longitude"":""-99.710464"",""name"":""Wildcat Stadium (TX)"",""state"":""TX"",""timezone"":""America/Chicago"",""zip"":""79601""}"
2001,Adams State,Grizzlies,ADSU,"[""ADSU"",""Adams St""]",Rocky Mountain,null,ii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2001.png"",""https://cdn.collegefootballdata.com/logos/256/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2001.png"",""https://cdn.collegefootballdata.com/logos/128/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2001.png"",""https://cdn.collegefootballdata.com/logos/96/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2001.png"",""https://cdn.collegefootballdata.com/logos/64/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2001.png"",""https://cdn.collegefootballdata.com/logos/48/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2001.png"",""https://cdn.collegefootballdata.com/logos/32/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2001.png"",""https://cdn.collegefootballdata.com/logos/16/2001.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2001.png""]",null,"{""capacity"":""2800"",""city"":""Alamosa"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5866"",""latitude"":""37.5780995"",""longitude"":""-105.7890452"",""name"":""Rex Stadium"",""state"":""CO"",""timezone"":null,""zip"":""81101""}"
2003,Adrian,Bulldogs,ADR,"[""ADR"",""Adrian""]",Michigan,null,iii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2003.png"",""https://cdn.collegefootballdata.com/logos/256/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2003.png"",""https://cdn.collegefootballdata.com/logos/128/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2003.png"",""https://cdn.collegefootballdata.com/logos/96/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2003.png"",""https://cdn.collegefootballdata.com/logos/64/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2003.png"",""https://cdn.collegefootballdata.com/logos/48/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2003.png"",""https://cdn.collegefootballdata.com/logos/32/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2003.png"",""https://cdn.collegefootballdata.com/logos/16/2003.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2003.png""]",null,"{""capacity"":""3000"",""city"":""Adrian"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5787"",""latitude"":""41.8975152"",""longitude"":""-84.0373054"",""name"":""Docking Stadium"",""state"":""MI"",""timezone"":null,""zip"":""49221""}"
2005,Air Force,Falcons,AF,"[""AF"",""Air Force""]",Mountain West,Mountain,fbs,#003594,#ffffff,"[""https://cdn.collegefootballdata.com/logos/500/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2005.png"",""https://cdn.collegefootballdata.com/logos/256/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2005.png"",""https://cdn.collegefootballdata.com/logos/128/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2005.png"",""https://cdn.collegefootballdata.com/logos/96/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2005.png"",""https://cdn.collegefootballdata.com/logos/64/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2005.png"",""https://cdn.collegefootballdata.com/logos/48/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2005.png"",""https://cdn.collegefootballdata.com/logos/32/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2005.png"",""https://cdn.collegefootballdata.com/logos/16/2005.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2005.png""]",@AF_Football,"{""capacity"":""46692"",""city"":""Colorado Springs"",""constructionYear"":""1962"",""countryCode"":""US"",""dome"":""false"",""elevation"":""2024.875732"",""grass"":""false"",""id"":""3713"",""latitude"":""38.9969701"",""longitude"":""-104.8436165"",""name"":""Falcon Stadium"",""state"":""CO"",""timezone"":""America/Denver"",""zip"":""80840""}"
2006,Akron,Zips,AKR,"[""AKR"",""Akron""]",Mid-American,East,fbs,#041e42,#a89968,"[""https://cdn.collegefootballdata.com/logos/500/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2006.png"",""https://cdn.collegefootballdata.com/logos/256/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2006.png"",""https://cdn.collegefootballdata.com/logos/128/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2006.png"",""https://cdn.collegefootballdata.com/logos/96/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2006.png"",""https://cdn.collegefootballdata.com/logos/64/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2006.png"",""https://cdn.collegefootballdata.com/logos/48/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2006.png"",""https://cdn.collegefootballdata.com/logos/32/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2006.png"",""https://cdn.collegefootballdata.com/logos/16/2006.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2006.png""]",@ZipsFB,"{""capacity"":""30000"",""city"":""Akron"",""constructionYear"":""2009"",""countryCode"":""US"",""dome"":""false"",""elevation"":""321.2875061"",""grass"":""false"",""id"":""3768"",""latitude"":""41.0725534"",""longitude"":""-81.5083408"",""name"":""InfoCision Stadium"",""state"":""OH"",""timezone"":""America/New_York"",""zip"":""44399""}"
333,Alabama,Crimson Tide,ALA,"[""ALA"",""Alabama""]",SEC,West,fbs,#9e1b32,#ffffff,"[""https://cdn.collegefootballdata.com/logos/500/333.png"",""https://cdn.collegefootballdata.com/logos-dark/500/333.png"",""https://cdn.collegefootballdata.com/logos/256/333.png"",""https://cdn.collegefootballdata.com/logos-dark/256/333.png"",""https://cdn.collegefootballdata.com/logos/128/333.png"",""https://cdn.collegefootballdata.com/logos-dark/128/333.png"",""https://cdn.collegefootballdata.com/logos/96/333.png"",""https://cdn.collegefootballdata.com/logos-dark/96/333.png"",""https://cdn.collegefootballdata.com/logos/64/333.png"",""https://cdn.collegefootballdata.com/logos-dark/64/333.png"",""https://cdn.collegefootballdata.com/logos/48/333.png"",""https://cdn.collegefootballdata.com/logos-dark/48/333.png"",""https://cdn.collegefootballdata.com/logos/32/333.png"",""https://cdn.collegefootballdata.com/logos-dark/32/333.png"",""https://cdn.collegefootballdata.com/logos/16/333.png"",""https://cdn.collegefootballdata.com/logos-dark/16/333.png""]",@AlabamaFTBL,"{""capacity"":""101821"",""city"":""Tuscaloosa"",""constructionYear"":""1929"",""countryCode"":""US"",""dome"":""false"",""elevation"":""70.05136108"",""grass"":""true"",""id"":""3657"",""latitude"":""33.2082752"",""longitude"":""-87.5503836"",""name"":""Bryant-Denny Stadium"",""state"":""AL"",""timezone"":""America/Chicago"",""zip"":""35487""}"
2010,Alabama A&M,Bulldogs,AAMU,"[""AAMU"",""Alabama A&M""]",SWAC,East,fcs,#790000,#ffffff,"[""https://cdn.collegefootballdata.com/logos/500/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2010.png"",""https://cdn.collegefootballdata.com/logos/256/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2010.png"",""https://cdn.collegefootballdata.com/logos/128/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2010.png"",""https://cdn.collegefootballdata.com/logos/96/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2010.png"",""https://cdn.collegefootballdata.com/logos/64/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2010.png"",""https://cdn.collegefootballdata.com/logos/48/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2010.png"",""https://cdn.collegefootballdata.com/logos/32/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2010.png"",""https://cdn.collegefootballdata.com/logos/16/2010.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2010.png""]",@AAMUFB,"{""capacity"":""21000"",""city"":""Huntsville"",""constructionYear"":""1996"",""countryCode"":""US"",""dome"":""false"",""elevation"":""214.9181061"",""grass"":""false"",""id"":""3809"",""latitude"":""34.7835363"",""longitude"":""-86.5784132"",""name"":""Louis Crews Stadium"",""state"":""AL"",""timezone"":""America/Chicago"",""zip"":""35810""}"
2011,Alabama State,Hornets,ALST,"[""ALST"",""Alabama St""]",SWAC,East,fcs,#e9a900,#0a0a0a,"[""https://cdn.collegefootballdata.com/logos/500/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2011.png"",""https://cdn.collegefootballdata.com/logos/256/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2011.png"",""https://cdn.collegefootballdata.com/logos/128/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2011.png"",""https://cdn.collegefootballdata.com/logos/96/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2011.png"",""https://cdn.collegefootballdata.com/logos/64/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2011.png"",""https://cdn.collegefootballdata.com/logos/48/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2011.png"",""https://cdn.collegefootballdata.com/logos/32/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2011.png"",""https://cdn.collegefootballdata.com/logos/16/2011.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2011.png""]",@BamaStateFB,"{""capacity"":""26500"",""city"":""Montgomery"",""constructionYear"":""2012"",""countryCode"":""US"",""dome"":""false"",""elevation"":""79.35839844"",""grass"":""false"",""id"":""4582"",""latitude"":""32.3642223"",""longitude"":""-86.2896902"",""name"":""Hornet Stadium"",""state"":""AL"",""timezone"":""America/Chicago"",""zip"":""36106""}"
2013,Albany State,Golden Rams,ABSU,"[""ABSU"",""Albany St""]",SIAC,East,ii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2013.png"",""https://cdn.collegefootballdata.com/logos/256/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2013.png"",""https://cdn.collegefootballdata.com/logos/128/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2013.png"",""https://cdn.collegefootballdata.com/logos/96/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2013.png"",""https://cdn.collegefootballdata.com/logos/64/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2013.png"",""https://cdn.collegefootballdata.com/logos/48/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2013.png"",""https://cdn.collegefootballdata.com/logos/32/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2013.png"",""https://cdn.collegefootballdata.com/logos/16/2013.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2013.png""]",null,"{""capacity"":""10000"",""city"":""Albany"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5867"",""latitude"":""31.5782062"",""longitude"":""-84.1556809"",""name"":""Albany State University Coliseum"",""state"":""GA"",""timezone"":null,""zip"":""31701""}"
2790,Albion,Britons,ALBI,"[""ALBI"",""Albion""]",Michigan,null,iii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2790.png"",""https://cdn.collegefootballdata.com/logos/256/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2790.png"",""https://cdn.collegefootballdata.com/logos/128/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2790.png"",""https://cdn.collegefootballdata.com/logos/96/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2790.png"",""https://cdn.collegefootballdata.com/logos/64/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2790.png"",""https://cdn.collegefootballdata.com/logos/48/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2790.png"",""https://cdn.collegefootballdata.com/logos/32/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2790.png"",""https://cdn.collegefootballdata.com/logos/16/2790.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2790.png""]",null,"{""capacity"":""4000"",""city"":""Albion"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5786"",""latitude"":""42.243097"",""longitude"":""-84.7530304"",""name"":""Sprankle-Sprandel Stadium"",""state"":""MI"",""timezone"":null,""zip"":""49224""}"
