State,Population
California,"39,355,309"
Texas,"31,709,821"
Florida,"23,462,518"
New York,"20,002,427"
Pennsylvania,"13,059,432"
Illinois,"12,719,141"
Ohio,"11,900,510"
Georgia,"11,302,748"
North Carolina,"11,197,968"
Michigan,"10,127,884"
New Jersey,"9,548,215"
Virginia,"8,880,107"
Washington,"8,001,020"
Arizona,"7,623,818"
Tennessee,"7,315,076"
Massachusetts,"7,154,084"
Indiana,"6,973,333"
Missouri,"6,270,541"
Maryland,"6,265,347"
Colorado,"6,012,561"
Wisconsin,"5,972,787"
Minnesota,"5,830,405"
South Carolina,"5,570,274"
Alabama,"5,193,088"
Louisiana,"4,618,189"
Kentucky,"4,606,864"
Oregon,"4,273,586"
Oklahoma,"4,123,288"
Connecticut,"3,688,496"
Utah,"3,538,904"
Nevada,"3,282,188"
Iowa,"3,238,387"
Arkansas,"3,114,791"
Kansas,"2,977,220"
Mississippi,"2,954,160"
New Mexico,"2,125,498"
Idaho,"2,029,733"
Nebraska,"2,018,006"
West Virginia,"1,766,147"
Hawaii,"1,432,820"
New Hampshire,"1,415,342"
Maine,"1,414,874"
Montana,"1,144,694"
Rhode Island,"1,114,521"
Delaware,"1,059,952"
South Dakota,"935,094"
North Dakota,"799,358"
Alaska,"737,270"
District of Columbia,"693,645"
Vermont,"644,663"
Wyoming,"588,753"
